,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand,torque_nm,torque_max_rpm
2346,2014,220000,80000,petrol,individual,manual,third owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2347,2013,415000,60000,petrol,individual,manual,second owner,18.5,1197.0,85.8,5,maruti ritz,114.0,4000
2348,2007,150000,75000,petrol,individual,manual,first owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
2349,2005,150000,89000,petrol,individual,manual,second owner,15.3,1341.0,83.0,5,hyundai getz,115.0,3200
2350,2007,240000,110000,diesel,individual,manual,first owner,18.1,1493.0,110.0,5,hyundai verna,240.0,2750
2351,2009,170000,90000,petrol,individual,manual,second owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
2352,2015,550000,40000,diesel,individual,manual,third owner,28.09,1248.0,88.5,5,maruti ciaz,200.0,1750
2353,2011,180000,120000,diesel,individual,manual,second owner,13.0,2489.0,95.0,8,mahindra xylo,220.0,2600
2354,2017,360000,29000,petrol,individual,manual,first owner,18.15,1198.0,82.0,6,mahindra kuv,115.0,3600
2355,2014,400000,120000,petrol,individual,manual,first owner,19.1,1197.0,85.8,5,maruti swift,114.0,4000
2356,2009,120000,70000,petrol,individual,manual,second owner,13.2,1495.0,94.0,5,hyundai accent,125.0,3500
2357,2016,765000,100000,diesel,individual,manual,second owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
2358,2016,919999,90150,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
2359,2018,730000,90000,diesel,individual,manual,first owner,23.59,1364.0,67.05,5,toyota platinum,170.0,2400
2360,2016,320000,120000,diesel,individual,manual,first owner,22.95,1248.0,74.0,5,tata zest,190.0,3000
2361,2015,455000,90000,diesel,individual,manual,second owner,25.8,1498.0,98.6,5,honda amaze,200.0,1750
2362,2015,350000,50000,petrol,individual,manual,first owner,20.63,1198.0,67.0,5,datsun go,104.0,4000
2363,2016,509999,110000,diesel,individual,manual,first owner,18.49,1493.0,100.0,7,mahindra tuv,240.0,2800
2364,2011,175000,85700,diesel,individual,manual,second owner,17.0,1405.0,70.0,5,tata indigo,135.0,2500
2365,2013,325000,178000,diesel,individual,manual,first owner,15.96,2523.0,63.0,9,mahindra bolero,180.0,1500
2366,2011,120000,70000,petrol,individual,manual,second owner,15.2,1193.0,65.0,5,tata indigo,107.0,2600
2367,2014,300000,30000,petrol,individual,manual,second owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
2368,2015,500000,100000,diesel,individual,manual,first owner,26.0,1498.0,98.6,5,honda city,200.0,1750
2369,2016,562000,25339,petrol,individual,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
2370,2014,250000,10000,petrol,individual,manual,first owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2371,2013,280000,35000,petrol,individual,manual,second owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
2372,2015,571000,68000,diesel,individual,manual,second owner,20.77,1248.0,88.76,7,maruti ertiga,200.0,1750
2373,2013,400000,40000,petrol,individual,manual,first owner,18.6,1197.0,85.8,5,maruti swift,114.0,4000
2374,2015,295000,120000,diesel,individual,manual,second owner,19.09,1405.0,69.01,5,tata indigo,135.0,2500
2375,2011,250000,25000,petrol,individual,manual,first owner,15.6,1196.0,70.0,5,ford figo,102.0,4000
2376,2015,610000,40000,diesel,individual,manual,second owner,15.96,2523.0,62.1,7,mahindra bolero,195.0,2200
2377,2012,175000,60000,diesel,individual,manual,first owner,22.3,1248.0,74.0,5,tata indica,190.0,3000
2378,2011,204999,70000,diesel,individual,manual,second owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
2379,2013,750000,80000,diesel,individual,manual,second owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
2380,2017,589000,41232,diesel,dealer,manual,first owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
2381,2015,445000,40200,diesel,dealer,manual,first owner,21.0,1498.0,74.96,7,mahindra bolero,210.0,2200
2382,2005,310000,200000,diesel,individual,manual,second owner,12.8,2494.0,102.0,8,toyota innova,204.0,3400
2383,2015,445000,62000,diesel,dealer,manual,first owner,21.0,1498.0,74.96,7,mahindra bolero,210.0,2200
2384,2012,450000,68240,diesel,dealer,manual,first owner,13.93,2956.0,138.1,7,tata new,320.0,2700
2385,2008,450000,78000,diesel,dealer,manual,first owner,15.4,1997.0,120.0,7,mahindra scorpio,280.0,2800
2386,2010,200000,35000,petrol,dealer,manual,first owner,18.9,998.0,67.1,5,maruti wagon,90.0,3500
2387,2018,611000,9000,petrol,dealer,manual,first owner,19.1,1197.0,85.8,5,maruti swift,114.0,4000
2388,2016,819999,39000,diesel,dealer,manual,first owner,19.67,1582.0,126.2,5,hyundai creta,259.9,2750
2389,2016,825000,39000,diesel,dealer,manual,first owner,21.38,1396.0,88.7,5,hyundai creta,219.7,2750
2390,2015,599000,92651,diesel,dealer,manual,first owner,21.7,1498.0,98.96,5,ford ecosport,215.0,2500
2391,2018,490000,28000,petrol,dealer,manual,first owner,16.1,1197.0,85.0,5,maruti swift,113.0,4500
2392,2020,500000,40000,petrol,individual,manual,first owner,17.57,1193.0,88.7,5,tata zest,140.0,4000
2393,2017,1100000,88754,diesel,dealer,manual,first owner,16.0,2179.0,140.0,7,mahindra xuv500,330.0,2800
2394,2019,675000,7000,petrol,individual,manual,first owner,19.4,1194.0,94.93,5,ford aspire,120.0,4250
2395,2018,570000,20000,petrol,individual,manual,first owner,18.9,1197.0,81.86,5,hyundai grand,113.75,4000
2396,2017,455000,50000,diesel,individual,manual,first owner,24.0,1186.0,73.97,5,hyundai grand,190.24,2250
2397,2013,165000,45000,petrol,individual,manual,second owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2398,2014,215000,100000,diesel,individual,manual,second owner,25.0,1396.0,69.01,5,tata indigo,140.0,3000
2399,2016,470000,23700,petrol,individual,manual,first owner,20.4,1197.0,81.8,5,maruti swift,113.0,4200
2400,2016,470000,23700,petrol,individual,manual,first owner,20.4,1197.0,81.8,5,maruti swift,113.0,4200
2401,2017,650000,60000,diesel,individual,manual,first owner,28.09,1248.0,88.5,5,maruti ciaz,200.0,1750
2402,2009,190000,100000,diesel,individual,manual,second owner,17.8,1399.0,67.0,5,ford fiesta,160.0,2000
2403,2017,715000,60000,diesel,individual,manual,first owner,21.19,1396.0,88.73,5,hyundai i20,219.66,2750
2404,2015,200000,40000,diesel,individual,manual,first owner,25.44,936.0,56.3,5,chevrolet beat,142.5,1750
2405,2016,725000,110000,diesel,individual,manual,first owner,24.52,1248.0,88.5,7,maruti ertiga,200.0,1750
2406,2014,300000,80000,diesel,individual,manual,first owner,20.0,1399.0,68.05,5,ford figo,160.0,2000
2407,2016,1151000,69500,diesel,individual,manual,second owner,12.99,2494.0,100.6,8,toyota innova,200.0,3600
2408,2014,225000,33000,petrol,individual,manual,first owner,20.63,1198.0,67.0,5,datsun go,104.0,4000
2409,2016,380000,80000,petrol,individual,manual,first owner,19.81,1086.0,68.05,5,hyundai i10,99.04,4500
2410,2019,630000,5000,petrol,individual,manual,first owner,18.6,1197.0,81.86,5,hyundai elite,117.0,4000
2411,2014,351000,25000,petrol,individual,manual,first owner,20.36,1197.0,78.9,5,hyundai i10,111.7,4000
2412,2012,199000,50000,diesel,individual,manual,second owner,20.86,1199.0,75.0,5,skoda fabia,180.0,2000
2413,2017,850000,50000,diesel,individual,manual,first owner,17.6,2179.0,147.94,7,tata hexa,320.0,3000
2414,2010,105000,120000,diesel,individual,manual,second owner,18.0,1248.0,75.0,5,tata indica,190.0,1750
2415,2010,300000,120000,diesel,individual,manual,third owner,18.8,1248.0,90.0,5,tata manza,200.0,3000
2416,2016,950000,80000,diesel,individual,manual,first owner,12.99,2494.0,100.6,7,toyota innova,200.0,3600
2417,2012,175000,60000,lpg,individual,manual,second owner,26.700000000000003,1086.0,63.0,5,hyundai santro,98.0,3000
2418,2020,350000,5000,petrol,individual,manual,first owner,22.05,796.0,47.3,5,maruti alto,69.0,3500
2419,2019,690000,18000,petrol,individual,manual,first owner,18.6,1197.0,81.86,5,hyundai elite,114.73,4000
2420,2015,535000,80000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
2421,2016,730000,100000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
2422,2016,280000,19000,petrol,individual,manual,first owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2423,2019,650000,33000,petrol,individual,automatic,first owner,21.21,1197.0,81.8,5,maruti swift,113.0,4200
2424,2020,360000,65000,petrol,individual,manual,second owner,20.14,1197.0,81.86,5,hyundai xcent,113.75,4000
2425,2011,250000,170000,diesel,individual,manual,first owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
2426,2017,575000,40000,diesel,individual,manual,first owner,21.66,1498.0,108.62,5,volkswagen ameo,250.0,3000
2427,2017,711000,53000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
2428,2013,250000,90000,petrol,individual,manual,first owner,18.9,998.0,67.1,5,maruti wagon,90.0,3500
2429,2017,675000,35000,diesel,individual,manual,first owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
2430,2016,325000,50000,petrol,individual,manual,first owner,20.51,998.0,67.04,5,maruti wagon,90.0,3500
2431,2016,250000,20000,petrol,individual,manual,first owner,22.74,796.0,47.3,5,maruti alto,69.0,3500
2432,2019,740000,38000,diesel,individual,automatic,first owner,28.4,1248.0,74.0,5,maruti swift,190.0,2000
2433,2017,1750000,73000,petrol,dealer,automatic,first owner,12.0,2354.0,187.4,5,honda cr-v,226.0,4400
2434,2017,800000,28050,diesel,dealer,manual,first owner,28.09,1248.0,88.5,5,maruti ciaz,200.0,1750
2435,2017,1825000,58000,petrol,dealer,automatic,first owner,12.0,2354.0,187.4,5,honda cr-v,226.0,4400
2436,2017,1295000,58000,diesel,dealer,automatic,first owner,17.6,2179.0,153.86,7,tata hexa,400.0,2500
2437,2014,425000,69000,diesel,dealer,manual,first owner,19.87,1461.0,83.8,5,renault duster,200.0,1750
2438,2016,4090000,70000,diesel,dealer,automatic,first owner,12.0,2987.0,224.0,7,mercedes-benz gl-class,510.0,2800
2439,2015,910000,40000,diesel,dealer,automatic,first owner,17.6,1582.0,126.2,5,hyundai creta,259.87,3000
2440,2011,325000,142000,diesel,individual,manual,first owner,15.96,2523.0,62.1,7,mahindra bolero,195.0,2200
2441,2016,500000,22947,petrol,individual,manual,first owner,20.4,1197.0,81.8,5,maruti swift,113.0,4200
2442,2013,300000,30000,petrol,individual,manual,second owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
2443,2016,270000,7672,petrol,individual,manual,first owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2444,2010,160000,36659,petrol,individual,manual,first owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
2445,2016,210000,60000,petrol,individual,manual,first owner,16.8,796.0,34.2,8,maruti omni,59.0,2500
2446,2014,880000,120000,diesel,individual,manual,first owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
2447,2010,150000,39000,petrol,individual,manual,first owner,16.9,1061.0,64.9,5,maruti zen,86.0,3500
2448,2015,775000,45000,diesel,individual,automatic,first owner,18.49,1493.0,100.0,7,mahindra tuv,230.0,2250
2449,2012,220000,100000,diesel,individual,manual,second owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
2450,2017,670000,48000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
2451,2018,780000,35000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
2452,2017,515000,23000,petrol,individual,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
2453,2017,800000,14000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
2454,2014,850000,60000,diesel,individual,manual,first owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
2455,2013,200000,60000,petrol,individual,manual,second owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2456,2008,140000,150000,diesel,individual,manual,third owner,19.4,1422.0,70.0,5,skoda fabia,155.0,2800
2457,2016,800000,80000,petrol,individual,automatic,second owner,17.01,1591.0,121.3,5,hyundai verna,154.9,4200
2458,2013,250000,35000,petrol,individual,manual,first owner,20.92,998.0,67.1,5,maruti alto,90.0,3500
2459,2017,800000,44500,diesel,individual,manual,first owner,25.1,1248.0,88.5,5,maruti s-cross,200.0,1750
2460,2015,600000,60000,diesel,individual,manual,third owner,26.21,1248.0,88.5,5,maruti ciaz,200.0,1750
2461,2012,250000,120000,diesel,individual,manual,third owner,21.8,1461.0,78.0,5,renault fluence,240.0,2000
2462,2016,500000,80000,diesel,individual,manual,second owner,25.8,1498.0,98.6,5,honda amaze,200.0,1750
2463,2019,750000,9900,petrol,individual,manual,first owner,11.96,1298.0,80.0,8,maruti gypsy,103.0,4500
2464,2014,650000,68000,diesel,individual,manual,first owner,22.9,1248.0,74.0,5,maruti swift,190.0,2000
2465,2016,950000,60000,diesel,individual,manual,first owner,21.9,1498.0,98.6,7,honda brv,200.0,1750
2466,2015,580000,110000,diesel,individual,manual,second owner,13.58,2499.0,72.4,10,chevrolet tavera,171.0,1800
2467,2014,800000,80000,diesel,individual,automatic,first owner,11.79,2179.0,120.0,8,mahindra scorpio,290.0,2800
2468,2011,347000,30000,petrol,individual,manual,first owner,19.0,998.0,66.1,5,maruti a-star,90.0,3500
2469,2014,1000000,120000,diesel,individual,manual,third owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
2470,2016,300000,35000,petrol,individual,manual,first owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2471,2017,493000,40000,petrol,individual,manual,first owner,20.3,1199.0,84.0,5,tata tigor,114.0,3500
2472,2014,370000,60000,petrol,individual,manual,first owner,18.9,1197.0,82.0,5,hyundai grand,114.0,4000
2473,2008,250000,90000,diesel,individual,manual,fourth & above owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
2474,2017,300000,20000,petrol,individual,manual,first owner,22.5,999.0,67.0,5,datsun redigo,91.0,4250
2475,2017,450000,40000,petrol,individual,automatic,first owner,24.04,999.0,67.0,5,renault kwid,91.0,4250
2476,2010,185000,124316,diesel,dealer,manual,second owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
2477,2019,1225000,6544,diesel,individual,manual,first owner,20.0,1497.0,115.0,5,mahindra xuv300,300.0,2500
2478,2016,600000,10000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
2479,2012,285000,69000,petrol,individual,manual,first owner,17.5,1298.0,85.8,5,maruti swift,114.0,4000
2480,2016,500000,198000,diesel,individual,manual,first owner,18.2,1248.0,73.74,8,chevrolet enjoy,172.5,1750
2481,2010,350000,80000,petrol,individual,manual,first owner,17.0,1197.0,80.0,5,hyundai i20,114.0,4000
2482,2019,685000,19000,petrol,individual,automatic,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
2483,2020,399000,5000,cng,individual,manual,first owner,32.910000000000004,1196.0,61.7,5,maruti eeco,85.0,3000
2484,2017,525000,10000,petrol,individual,manual,first owner,18.9,1197.0,81.86,5,hyundai grand,113.75,4000
2485,2017,765000,40000,petrol,individual,manual,first owner,17.5,1373.0,91.1,7,maruti ertiga,130.0,4000
2486,2012,450000,97000,diesel,individual,manual,third owner,22.9,1248.0,74.0,5,maruti swift,190.0,2000
2487,2014,390000,30000,petrol,individual,manual,first owner,19.69,1198.0,67.04,5,nissan micra,104.0,4000
2488,2017,940000,120000,diesel,individual,manual,first owner,24.52,1248.0,88.5,7,maruti ertiga,200.0,1750
2489,2013,650000,120000,diesel,individual,manual,second owner,19.01,1461.0,108.45,5,renault duster,248.0,2250
2490,2012,320000,103994,diesel,individual,manual,fourth & above owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
2491,2003,145000,70000,petrol,individual,manual,second owner,13.4,1794.0,125.0,5,toyota corolla,161.0,4200
2492,2017,670000,70000,diesel,individual,manual,first owner,25.83,1498.0,99.0,5,ford figo,215.0,3000
2493,2011,350000,115000,diesel,individual,manual,fourth & above owner,21.5,1248.0,88.8,5,maruti sx4,200.0,1750
2494,2011,300000,40000,petrol,individual,manual,third owner,19.0,998.0,67.1,5,maruti zen,90.0,3500
2495,2011,300000,80000,diesel,individual,manual,first owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
2496,2009,810000,98000,diesel,individual,automatic,fourth & above owner,12.07,2967.0,241.4,7,audi q7,550.0,2750
2497,2009,90000,118000,diesel,individual,manual,second owner,16.8,1405.0,62.0,5,tata indica,125.0,2500
2498,2004,100000,100000,petrol,individual,manual,second owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
2499,2009,90000,120000,diesel,individual,manual,second owner,17.88,1396.0,52.8,5,tata indica,85.0,2500
2500,2011,250000,65000,petrol,individual,manual,second owner,18.9,998.0,67.1,5,maruti wagon,90.0,3500
2501,2012,300000,41000,petrol,individual,manual,second owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
2502,2005,130000,120000,petrol,individual,manual,second owner,16.1,1298.0,88.2,5,maruti swift,115.0,4500
2503,2011,199000,70000,petrol,individual,manual,third owner,20.92,998.0,67.1,5,maruti alto,90.0,3500
2504,2012,545000,90000,diesel,individual,manual,second owner,20.46,1461.0,83.8,5,renault duster,200.0,1900
2505,2014,570000,80000,diesel,individual,manual,second owner,20.77,1248.0,88.8,7,maruti ertiga,200.0,1750
2506,2006,150000,120000,petrol,individual,manual,second owner,16.9,1497.0,100.0,5,honda city,135.0,4800
2507,2019,600000,5000,petrol,individual,manual,first owner,20.0,999.0,72.0,7,renault triber,96.0,3500
2508,2016,610000,110000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
2509,2017,690000,20000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
2510,2018,790000,15000,petrol,individual,manual,first owner,17.0,1198.0,108.5,5,tata nexon,170.0,4000
2511,2014,254999,40000,petrol,individual,manual,second owner,20.92,998.0,67.1,5,maruti alto,90.0,3500
2512,2016,500000,41000,petrol,individual,manual,first owner,18.7,1199.0,88.7,5,honda jazz,110.0,4800
2513,2007,245000,110000,diesel,individual,manual,third owner,13.6,2523.0,63.0,7,mahindra bolero,180.0,1500
2514,2012,340000,120000,diesel,individual,manual,third owner,17.8,1399.0,67.0,5,ford fiesta,160.0,2000
2515,2008,221000,35008,petrol,dealer,manual,first owner,21.79,998.0,67.05,5,maruti wagon,90.0,3500
2516,2014,455000,42312,diesel,dealer,manual,first owner,24.4,1120.0,71.0,5,hyundai xcent,180.4,2500
2517,2011,300000,72000,petrol,dealer,manual,first owner,17.6,1496.0,88.7,5,toyota etios,132.0,3000
2518,2014,480000,54891,diesel,dealer,manual,first owner,23.59,1364.0,67.04,5,toyota etios,170.0,2400
2519,2018,1000000,30000,diesel,individual,automatic,first owner,22.0,1582.0,126.2,5,hyundai verna,259.87,3000
2520,2017,2600000,44000,diesel,dealer,automatic,first owner,22.69,1995.0,190.0,5,bmw 3,400.0,2750
2521,2017,1850000,18890,diesel,dealer,automatic,first owner,11.36,2755.0,171.5,7,toyota innova,360.0,3400
2522,2012,245000,100000,diesel,dealer,manual,first owner,23.08,1461.0,63.1,5,renault pulse,160.0,2000
2523,2019,625000,4337,petrol,dealer,automatic,first owner,18.9,1197.0,82.0,5,hyundai grand,114.0,4000
2524,2018,560000,14495,petrol,dealer,manual,first owner,18.78,999.0,75.0,5,volkswagen polo,95.0,4300
2525,2018,1475000,24000,diesel,dealer,manual,first owner,15.1,2179.0,152.87,7,mahindra xuv500,360.0,2800
2526,2014,550000,31000,petrol,dealer,automatic,second owner,17.21,1197.0,103.6,5,volkswagen polo,175.0,4100
2527,2016,1475000,100000,diesel,dealer,manual,first owner,13.68,2393.0,147.8,7,toyota innova,343.0,2800
2528,2017,750000,48406,diesel,dealer,manual,first owner,19.87,1461.0,83.8,5,renault duster,200.0,1750
2529,2016,570000,56239,diesel,dealer,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
2530,2015,585000,33243,petrol,dealer,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
2531,2016,600000,26000,petrol,dealer,automatic,first owner,19.0,1199.0,88.7,5,honda jazz,110.0,4800
2532,2013,180000,60000,petrol,individual,manual,first owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
2533,2005,150000,15858,petrol,individual,manual,first owner,13.8,1299.0,70.0,5,ford ikon,107.0,2500
2534,2017,310000,15000,petrol,individual,manual,first owner,24.7,796.0,47.3,5,maruti alto,69.0,3500
2535,2013,200000,60000,diesel,individual,manual,second owner,25.44,936.0,57.6,5,chevrolet beat,150.0,1750
2536,2018,900000,35000,diesel,individual,manual,first owner,21.04,1461.0,83.8,7,renault lodgy,200.0,1900
2537,2015,400000,50000,petrol,individual,manual,first owner,20.4,1197.0,83.11,5,maruti swift,113.0,4200
2538,2015,650000,110000,diesel,individual,manual,first owner,24.5,1498.0,98.6,7,honda mobilio,200.0,1750
2539,2009,140000,35000,petrol,individual,manual,first owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
2540,2018,550000,5000,petrol,individual,manual,first owner,22.0,1197.0,81.8,5,maruti swift,113.0,4200
2541,2017,380000,29000,petrol,individual,automatic,first owner,20.51,998.0,67.0,5,maruti wagon,90.0,3500
2542,2016,440000,20000,diesel,individual,manual,first owner,19.09,1405.0,69.01,5,tata indigo,135.0,2500
2543,2018,630000,15000,petrol,individual,manual,first owner,21.21,1197.0,81.8,5,maruti swift,113.0,4200
2544,2017,250000,40000,petrol,individual,manual,first owner,25.17,799.0,53.3,5,renault kwid,72.0,4386
2545,2009,120000,17000,petrol,individual,manual,first owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
2546,2012,287000,120000,diesel,individual,manual,first owner,21.12,1248.0,88.8,5,tata manza,200.0,3000
2547,2016,550000,45000,petrol,individual,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
2548,2016,950000,60000,diesel,individual,manual,third owner,15.4,1997.0,120.0,7,mahindra scorpio,280.0,2800
2549,2019,1630000,25000,diesel,individual,manual,first owner,17.0,1956.0,138.1,5,tata harrier,350.0,2500
2550,2015,501000,80000,diesel,individual,manual,second owner,25.01,1498.0,89.75,5,ford fiesta,204.0,2750
2551,2014,550000,70000,diesel,individual,manual,first owner,15.96,2523.0,62.1,7,mahindra bolero,195.0,2200
2552,2016,300000,25000,petrol,individual,manual,first owner,22.74,796.0,47.3,5,maruti alto,69.0,3500
2553,2015,300000,50000,petrol,individual,manual,third owner,20.51,998.0,67.04,5,maruti wagon,90.0,3500
2554,2016,550000,15000,petrol,individual,manual,first owner,18.2,1199.0,82.4,5,chevrolet sail,108.5,5000
2555,2012,700000,100000,diesel,individual,manual,second owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
2556,2011,181000,70000,petrol,individual,manual,first owner,15.64,1193.0,64.1,5,tata indigo,100.0,2700
2557,2009,365000,110000,diesel,individual,automatic,second owner,11.79,2179.0,120.0,8,mahindra scorpio,290.0,2800
2558,2017,400000,10000,petrol,individual,automatic,first owner,23.95,998.0,67.1,5,maruti alto,90.0,3500
2559,2010,210000,110000,petrol,individual,manual,first owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
2560,2013,500000,87000,diesel,individual,manual,second owner,22.32,1582.0,126.32,5,hyundai verna,259.8,2750
2561,2017,550000,120000,petrol,individual,manual,first owner,17.57,1193.0,88.7,5,tata zest,140.0,4000
2562,2013,509999,148000,diesel,individual,manual,first owner,20.77,1248.0,88.8,7,maruti ertiga,200.0,1750
2563,2015,310000,18000,petrol,individual,manual,first owner,22.74,796.0,47.3,5,maruti alto,69.0,3500
2564,2018,775000,80000,diesel,individual,manual,first owner,22.95,1248.0,74.0,5,tata zest,190.0,3000
2565,2004,105000,96000,petrol,individual,manual,third owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
2566,2013,360000,210000,diesel,individual,manual,third owner,21.9,1396.0,88.76,5,hyundai i20,219.6,2750
2567,2012,400000,60000,diesel,individual,manual,third owner,20.5,1598.0,105.0,5,volkswagen vento,250.0,2500
2568,2019,580000,35000,petrol,individual,manual,first owner,17.5,1199.0,88.7,5,honda wr-v,110.0,4800
2569,2008,210000,100000,diesel,individual,manual,first owner,19.61,1405.0,70.0,5,tata indigo,135.4,2500
2570,2017,550000,20000,petrol,individual,manual,first owner,18.9,1197.0,82.0,5,hyundai grand,114.0,4000
2571,2013,120000,110000,petrol,individual,manual,second owner,18.2,1199.0,84.8,5,chevrolet sail,113.0,5000
2572,2013,400000,35000,diesel,individual,manual,first owner,12.99,2494.0,100.6,7,toyota innova,200.0,3400
2573,2008,200000,40000,petrol,individual,manual,first owner,20.36,1197.0,78.9,5,hyundai i10,111.7,4000
2574,2013,316000,140000,diesel,individual,manual,first owner,21.02,1248.0,88.76,5,tata manza,200.0,3000
2575,2017,813000,110000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
2576,2016,1575000,55000,diesel,individual,automatic,first owner,11.36,2755.0,171.5,7,toyota innova,360.0,3400
2577,2013,900000,73000,diesel,individual,manual,first owner,12.99,2494.0,100.0,8,toyota innova,200.0,3400
2578,2015,650000,100000,diesel,individual,manual,first owner,20.77,1248.0,88.76,7,maruti ertiga,200.0,1750
2579,2015,459999,32000,diesel,individual,manual,second owner,25.83,1498.0,99.0,5,ford figo,215.0,3000
2580,2012,290000,112072,diesel,individual,manual,first owner,21.64,1461.0,84.8,5,nissan sunny,200.0,2000
2581,2014,400000,30000,diesel,individual,manual,first owner,20.0,1399.0,68.05,5,ford figo,160.0,2000
2582,2016,565000,70000,diesel,individual,manual,second owner,25.2,1248.0,74.0,5,maruti swift,190.0,2000
2583,2009,150000,80000,petrol,individual,manual,second owner,18.0,995.0,62.0,5,chevrolet spark,90.3,4200
2584,2007,480000,110000,diesel,individual,automatic,fourth & above owner,16.07,1995.0,181.0,5,bmw 3,380.0,3000
2585,2007,70000,80000,petrol,individual,manual,second owner,18.2,1061.0,64.0,5,maruti zen,84.0,3500
2586,2011,1190000,80000,petrol,individual,automatic,second owner,10.93,2497.0,204.0,5,mercedes-benz e-class,245.0,5000
2587,2018,900000,19000,diesel,individual,manual,first owner,23.0,1498.0,98.96,5,ford ecosport,205.0,3250
2588,2015,600000,40000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
2589,2015,1100000,52269,diesel,individual,manual,first owner,15.4,2179.0,120.0,7,mahindra scorpio,280.0,2800
2590,2010,120000,170000,lpg,individual,manual,second owner,16.35,796.0,32.8,5,maruti omni,57.0,2500
2591,2009,229999,60000,petrol,individual,manual,third owner,18.5,1197.0,80.0,5,hyundai i20,114.0,4000
2592,2017,570000,15780,petrol,individual,manual,first owner,17.8,1198.0,86.7,5,honda amaze,109.0,4500
2593,2012,280000,80000,diesel,individual,manual,third owner,20.54,1598.0,103.6,5,volkswagen vento,250.0,2500
2594,2015,580000,74000,diesel,individual,manual,second owner,21.19,1396.0,88.73,5,hyundai i20,219.66,2750
2595,2018,875000,35000,diesel,individual,manual,second owner,25.47,1248.0,88.5,7,maruti ertiga,200.0,1750
2596,2015,700000,60000,diesel,individual,manual,first owner,26.21,1248.0,88.5,5,maruti ciaz,200.0,1750
2597,2016,388000,50000,petrol,individual,manual,second owner,18.16,1196.0,86.8,5,ford figo,112.0,4000
2598,2011,225000,80000,petrol,individual,manual,second owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
